date,day,time,hours,minutes,seconds,totalminutes,totalcount
25-04-21,Sunday,15:02:08,15,2,8,902.1333333,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:13,15,2,13,902.2166667,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:18,15,2,18,902.3,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:23,15,2,23,902.3833333,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:28,15,2,28,902.4666667,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:33,15,2,33,902.55,7
,,,0,0,0,0,
25-04-21,Sunday,15:02:38,15,2,38,902.6333333,7
,,,0,0,0,0,
25-04-21,Sunday,15:02:43,15,2,43,902.7166667,7
,,,0,0,0,0,
25-04-21,Sunday,15:02:48,15,2,48,902.8,7
,,,0,0,0,0,
25-04-21,Sunday,16:53:22,16,53,22,1013.366667,5
,,,0,0,0,0,
25-04-21,Sunday,16:53:27,16,53,27,1013.45,5
,,,0,0,0,0,
25-04-21,Sunday,16:53:32,16,53,32,1013.533333,5
,,,0,0,0,0,
25-04-21,Sunday,16:55:32,16,55,32,1015.533333,5
,,,0,0,0,0,
25-04-21,Sunday,16:55:37,16,55,37,1015.616667,5
,,,0,0,0,0,
25-04-21,Sunday,16:55:42,16,55,42,1015.7,5
,,,0,0,0,0,
25-04-21,Sunday,16:55:47,16,55,47,1015.783333,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:01,16,57,1,1017.016667,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:07,16,57,7,1017.116667,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:30,16,57,30,1017.5,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:35,16,57,35,1017.583333,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:40,16,57,40,1017.666667,5
,,,0,0,0,0,
25-04-21,Sunday,17:02:06,17,2,6,1022.1,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:11,17,2,11,1022.183333,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:16,17,2,16,1022.266667,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:21,17,2,21,1022.35,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:26,17,2,26,1022.433333,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:31,17,2,31,1022.516667,7
,,,0,0,0,0,
25-04-21,Sunday,17:02:36,17,2,36,1022.6,8
,,,0,0,0,0,
25-04-21,Sunday,17:02:41,17,2,41,1022.683333,8
,,,0,0,0,0,
25-04-21,Sunday,17:02:46,17,2,46,1022.766667,8
,,,0,0,0,0,
25-04-21,Sunday,17:02:51,17,2,51,1022.85,8
,,,0,0,0,0,
25-04-21,Sunday,17:02:56,17,2,56,1022.933333,9
,,,0,0,0,0,
26-04-21,Monday,18:48:55,18,48,55,1128.916667,5
,,,0,0,0,0,
26-04-21,Monday,18:49:00,18,49,0,1129,5
,,,0,0,0,0,
26-04-21,Monday,18:49:05,18,49,5,1129.083333,5
,,,0,0,0,0,
26-04-21,Monday,18:49:10,18,49,10,1129.166667,5
,,,0,0,0,0,
26-04-21,Monday,18:49:15,18,49,15,1129.25,6
,,,0,0,0,0,
26-04-21,Monday,18:49:20,18,49,20,1129.333333,7
,,,0,0,0,0,
26-04-21,Monday,18:49:25,18,49,25,1129.416667,7
,,,0,0,0,0,
26-04-21,Monday,18:49:30,18,49,30,1129.5,7
,,,0,0,0,0,
26-04-21,Monday,18:49:35,18,49,35,1129.583333,7
,,,0,0,0,0,
26-04-21,Monday,18:50:02,18,50,2,1130.033333,5
,,,0,0,0,0,
26-04-21,Monday,22:13:51,22,13,51,1333.85,5
,,,0,0,0,0,
26-04-21,Monday,22:13:56,22,13,56,1333.933333,5
,,,0,0,0,0,
26-04-21,Monday,22:14:01,22,14,1,1334.016667,5
,,,0,0,0,0,
26-04-21,Monday,22:14:59,22,14,59,1334.983333,5
,,,0,0,0,0,
26-04-21,Monday,22:15:24,22,15,24,1335.4,5
,,,0,0,0,0,
26-04-21,Monday,22:15:29,22,15,29,1335.483333,5
,,,0,0,0,0,
26-04-21,Monday,22:15:34,22,15,34,1335.566667,5
,,,0,0,0,0,
26-04-21,Monday,22:35:51,22,35,51,1355.85,3
,,,0,0,0,0,
26-04-21,Monday,22:35:56,22,35,56,1355.933333,3
,,,0,0,0,0,
26-04-21,Monday,22:36:01,22,36,1,1356.016667,3
,,,0,0,0,0,
26-04-21,Monday,22:36:06,22,36,6,1356.1,3
,,,0,0,0,0,
26-04-21,Monday,22:36:11,22,36,11,1356.183333,3
,,,0,0,0,0,
26-04-21,Monday,22:36:16,22,36,16,1356.266667,3
,,,0,0,0,0,
26-04-21,Monday,22:36:21,22,36,21,1356.35,3
,,,0,0,0,0,
26-04-21,Monday,22:36:26,22,36,26,1356.433333,3
,,,0,0,0,0,
26-04-21,Monday,22:36:31,22,36,31,1356.516667,3
,,,0,0,0,0,
26-04-21,Monday,22:36:36,22,36,36,1356.6,3
,,,0,0,0,0,
26-04-21,Monday,22:36:41,22,36,41,1356.683333,3
,,,0,0,0,0,
26-04-21,Monday,22:36:46,22,36,46,1356.766667,3
,,,0,0,0,0,
26-04-21,Monday,22:37:25,22,37,25,1357.416667,5
,,,0,0,0,0,
26-04-21,Monday,22:37:30,22,37,30,1357.5,5
,,,0,0,0,0,
26-04-21,Monday,22:37:35,22,37,35,1357.583333,5
,,,0,0,0,0,
26-04-21,Monday,22:37:40,22,37,40,1357.666667,5
,,,0,0,0,0,
26-04-21,Monday,22:37:45,22,37,45,1357.75,5
,,,0,0,0,0,
26-04-21,Monday,22:37:50,22,37,50,1357.833333,7
,,,0,0,0,0,
26-04-21,Monday,22:37:55,22,37,55,1357.916667,7
,,,0,0,0,0,
26-04-21,Monday,22:38:00,22,38,0,1358,7
,,,0,0,0,0,
26-04-21,Monday,22:44:18,22,44,18,1364.3,5
,,,0,0,0,0,
26-04-21,Monday,22:44:23,22,44,23,1364.383333,5
,,,0,0,0,0,
26-04-21,Monday,23:44:42,23,44,42,1424.7,4
,,,0,0,0,0,
26-04-21,Monday,23:44:47,23,44,47,1424.783333,5
,,,0,0,0,0,
26-04-21,Monday,23:44:52,23,44,52,1424.866667,5
,,,0,0,0,0,
26-04-21,Monday,23:44:57,23,44,57,1424.95,5
,,,0,0,0,0,
26-04-21,Monday,23:45:02,23,45,2,1425.033333,5
,,,0,0,0,0,
26-04-21,Monday,23:45:07,23,45,7,1425.116667,6
,,,0,0,0,0,
26-04-21,Monday,23:45:12,23,45,12,1425.2,7
,,,0,0,0,0,
26-04-21,Monday,23:45:17,23,45,17,1425.283333,7
,,,0,0,0,0,
26-04-21,Monday,23:45:22,23,45,22,1425.366667,7
,,,0,0,0,0,
26-04-21,Monday,23:45:27,23,45,27,1425.45,8
,,,0,0,0,0,
26-04-21,Monday,23:50:22,23,50,22,1430.366667,5
,,,0,0,0,0,
26-04-21,Monday,23:50:27,23,50,27,1430.45,5
,,,0,0,0,0,
26-04-21,Monday,23:50:32,23,50,32,1430.533333,5
,,,0,0,0,0,
26-04-21,Monday,23:50:37,23,50,37,1430.616667,5
,,,0,0,0,0,
26-04-21,Monday,23:50:42,23,50,42,1430.7,6
,,,0,0,0,0,
26-04-21,Monday,23:50:47,23,50,47,1430.783333,7
,,,0,0,0,0,
26-04-21,Monday,23:50:52,23,50,52,1430.866667,7
,,,0,0,0,0,
26-04-21,Monday,23:50:57,23,50,57,1430.95,7
,,,0,0,0,0,
26-04-21,Monday,23:51:02,23,51,2,1431.033333,7
,,,0,0,0,0,
26-04-21,Monday,23:53:01,23,53,1,1433.016667,5
,,,0,0,0,0,
26-04-21,Monday,23:53:06,23,53,6,1433.1,5
,,,0,0,0,0,
26-04-21,Monday,23:53:11,23,53,11,1433.183333,5
,,,0,0,0,0,
26-04-21,Monday,23:53:16,23,53,16,1433.266667,5
,,,0,0,0,0,
26-04-21,Monday,23:53:21,23,53,21,1433.35,6
,,,0,0,0,0,
26-04-21,Monday,23:53:26,23,53,26,1433.433333,7
,,,0,0,0,0,
26-04-21,Monday,23:53:31,23,53,31,1433.516667,7
,,,0,0,0,0,
26-04-21,Monday,23:53:36,23,53,36,1433.6,7
,,,0,0,0,0,
26-04-21,Monday,23:53:41,23,53,41,1433.683333,7
,,,0,0,0,0,
27-04-21,Tuesday,20:08:45,20,8,45,1208.75,5
,,,0,0,0,0,
27-04-21,Tuesday,20:09:54,20,9,54,1209.9,4
,,,0,0,0,0,
27-04-21,Tuesday,20:10:51,20,10,51,1210.85,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:00,20,11,0,1211,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:24,20,11,24,1211.4,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:29,20,11,29,1211.483333,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:39,20,11,39,1211.65,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:44,20,11,44,1211.733333,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:49,20,11,49,1211.816667,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:54,20,11,54,1211.9,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:59,20,11,59,1211.983333,7
,,,0,0,0,0,
27-04-21,Tuesday,20:12:11,20,12,11,1212.183333,5
,,,0,0,0,0,
27-04-21,Tuesday,20:12:25,20,12,25,1212.416667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:12:30,20,12,30,1212.5,5
,,,0,0,0,0,
27-04-21,Tuesday,20:17:07,20,17,7,1217.116667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:00,20,49,0,1249,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:04,20,49,4,1249.066667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:10,20,49,10,1249.166667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:14,20,49,14,1249.233333,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:19,20,49,19,1249.316667,6
,,,0,0,0,0,
27-04-21,Tuesday,20:49:24,20,49,24,1249.4,7
,,,0,0,0,0,
27-04-21,Tuesday,20:49:30,20,49,30,1249.5,7
,,,0,0,0,0,
27-04-21,Tuesday,20:49:34,20,49,34,1249.566667,7
,,,0,0,0,0,
27-04-21,Tuesday,20:49:39,20,49,39,1249.65,8
,,,0,0,0,0,
27-04-21,Tuesday,20:50:14,20,50,14,1250.233333,2
,,,0,0,0,0,
27-04-21,Tuesday,20:50:19,20,50,19,1250.316667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:50:24,20,50,24,1250.4,5
,,,0,0,0,0,
27-04-21,Tuesday,20:50:29,20,50,29,1250.483333,5
,,,0,0,0,0,
27-04-21,Tuesday,20:50:34,20,50,34,1250.566667,7
,,,0,0,0,0,
27-04-21,Tuesday,20:50:39,20,50,39,1250.65,7
,,,0,0,0,0,
27-04-21,Tuesday,20:50:44,20,50,44,1250.733333,7
,,,0,0,0,0,
27-04-21,Tuesday,20:50:49,20,50,49,1250.816667,9
,,,0,0,0,0,
27-04-21,Tuesday,20:50:54,20,50,54,1250.9,9
,,,0,0,0,0,
27-04-21,Tuesday,20:50:59,20,50,59,1250.983333,9
,,,0,0,0,0,
27-04-21,Tuesday,20:51:04,20,51,4,1251.066667,9
,,,0,0,0,0,
27-04-21,Tuesday,20:51:09,20,51,9,1251.15,9
,,,0,0,0,0,
27-04-21,Tuesday,20:51:14,20,51,14,1251.233333,9
,,,0,0,0,0,
27-04-21,Tuesday,20:51:19,20,51,19,1251.316667,11
,,,0,0,0,0,
27-04-21,Tuesday,20:51:24,20,51,24,1251.4,13
,,,0,0,0,0,
27-04-21,Tuesday,20:51:29,20,51,29,1251.483333,14
,,,0,0,0,0,
27-04-21,Tuesday,20:51:34,20,51,34,1251.566667,14
,,,0,0,0,0,
27-04-21,Tuesday,20:51:39,20,51,39,1251.65,14
,,,0,0,0,0,
27-04-21,Tuesday,20:51:44,20,51,44,1251.733333,18
,,,0,0,0,0,
27-04-21,Tuesday,20:51:49,20,51,49,1251.816667,18
,,,0,0,0,0,
27-04-21,Tuesday,20:51:54,20,51,54,1251.9,18
,,,0,0,0,0,
27-04-21,Tuesday,20:51:59,20,51,59,1251.983333,18
,,,0,0,0,0,
27-04-21,Tuesday,21:03:53,21,3,53,1263.883333,1
,,,0,0,0,0,
27-04-21,Tuesday,21:03:58,21,3,58,1263.966667,2
,,,0,0,0,0,
27-04-21,Tuesday,21:04:03,21,4,3,1264.05,2
,,,0,0,0,0,
27-04-21,Tuesday,21:04:08,21,4,8,1264.133333,3
,,,0,0,0,0,
27-04-21,Tuesday,21:10:43,21,10,43,1270.716667,4
,,,0,0,0,0,
