date,day,time,hours,minutes,seconds,totalminutes,totalcount
27-04-21,Tuesday,21:10:48,21,10,48,1270.8,4
,,,0,0,0,0,
27-04-21,Tuesday,21:10:53,21,10,53,1270.883333,4
,,,0,0,0,0,
27-04-21,Tuesday,21:10:58,21,10,58,1270.966667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:11:03,21,11,3,1271.05,6
,,,0,0,0,0,
27-04-21,Tuesday,21:11:08,21,11,8,1271.133333,6
,,,0,0,0,0,
27-04-21,Tuesday,21:11:13,21,11,13,1271.216667,7
,,,0,0,0,0,
27-04-21,Tuesday,21:11:18,21,11,18,1271.3,8
,,,0,0,0,0,
27-04-21,Tuesday,21:11:23,21,11,23,1271.383333,8
,,,0,0,0,0,
27-04-21,Tuesday,21:11:28,21,11,28,1271.466667,10
,,,0,0,0,0,
27-04-21,Tuesday,21:11:33,21,11,33,1271.55,10
,,,0,0,0,0,
27-04-21,Tuesday,21:11:38,21,11,38,1271.633333,12
,,,0,0,0,0,
27-04-21,Tuesday,21:11:43,21,11,43,1271.716667,14
,,,0,0,0,0,
27-04-21,Tuesday,21:11:48,21,11,48,1271.8,16
,,,0,0,0,0,
27-04-21,Tuesday,21:11:53,21,11,53,1271.883333,16
,,,0,0,0,0,
27-04-21,Tuesday,21:12:50,21,12,50,1272.833333,4
,,,0,0,0,0,
27-04-21,Tuesday,21:12:55,21,12,55,1272.916667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:00,21,13,0,1273,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:40,21,13,40,1273.666667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:45,21,13,45,1273.75,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:50,21,13,50,1273.833333,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:55,21,13,55,1273.916667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:14:00,21,14,0,1274,6
,,,0,0,0,0,
27-04-21,Tuesday,21:14:05,21,14,5,1274.083333,6
,,,0,0,0,0,
27-04-21,Tuesday,21:23:15,21,23,15,1283.25,4
,,,0,0,0,0,
27-04-21,Tuesday,21:23:20,21,23,20,1283.333333,4
,,,0,0,0,0,
27-04-21,Tuesday,21:23:25,21,23,25,1283.416667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:23:30,21,23,30,1283.5,4
,,,0,0,0,0,
27-04-21,Tuesday,21:23:35,21,23,35,1283.583333,6
,,,0,0,0,0,
27-04-21,Tuesday,21:23:40,21,23,40,1283.666667,6
,,,0,0,0,0,
27-04-21,Tuesday,21:23:45,21,23,45,1283.75,8
,,,0,0,0,0,
27-04-21,Tuesday,21:23:50,21,23,50,1283.833333,8
,,,0,0,0,0,
27-04-21,Tuesday,21:23:55,21,23,55,1283.916667,10
,,,0,0,0,0,
27-04-21,Tuesday,21:24:00,21,24,0,1284,10
,,,0,0,0,0,
27-04-21,Tuesday,21:24:05,21,24,5,1284.083333,10
,,,0,0,0,0,
27-04-21,Tuesday,21:24:10,21,24,10,1284.166667,12
,,,0,0,0,0,
27-04-21,Tuesday,21:24:15,21,24,15,1284.25,14
,,,0,0,0,0,
27-04-21,Tuesday,21:24:20,21,24,20,1284.333333,16
,,,0,0,0,0,
27-04-21,Tuesday,21:24:51,21,24,51,1284.85,7
,,,0,0,0,0,
27-04-21,Tuesday,21:24:56,21,24,56,1284.933333,8
,,,0,0,0,0,
28-04-21,Wednesday,23:10:42,23,10,42,1390.7,2
,,,0,0,0,0,
28-04-21,Wednesday,23:10:47,23,10,47,1390.783333,6
,,,0,0,0,0,
28-04-21,Wednesday,23:10:52,23,10,52,1390.866667,6
,,,0,0,0,0,
28-04-21,Wednesday,23:10:57,23,10,57,1390.95,6
,,,0,0,0,0,
28-04-21,Wednesday,23:11:02,23,11,2,1391.033333,11
,,,0,0,0,0,
28-04-21,Wednesday,23:11:07,23,11,7,1391.116667,11
,,,0,0,0,0,
28-04-21,Wednesday,23:11:12,23,11,12,1391.2,13
,,,0,0,0,0,
28-04-21,Wednesday,23:11:17,23,11,17,1391.283333,13
,,,0,0,0,0,
28-04-21,Wednesday,23:11:22,23,11,22,1391.366667,13
,,,0,0,0,0,
28-04-21,Wednesday,23:11:27,23,11,27,1391.45,13
,,,0,0,0,0,
28-04-21,Wednesday,23:11:32,23,11,32,1391.533333,13
,,,0,0,0,0,
28-04-21,Wednesday,23:15:39,23,15,39,1395.65,1
,,,0,0,0,0,
28-04-21,Wednesday,23:15:44,23,15,44,1395.733333,1
,,,0,0,0,0,
28-04-21,Wednesday,23:15:49,23,15,49,1395.816667,1
,,,0,0,0,0,
28-04-21,Wednesday,23:15:54,23,15,54,1395.9,3
,,,0,0,0,0,
28-04-21,Wednesday,23:15:59,23,15,59,1395.983333,3
,,,0,0,0,0,
28-04-21,Wednesday,23:16:04,23,16,4,1396.066667,5
,,,0,0,0,0,
28-04-21,Wednesday,23:16:09,23,16,9,1396.15,5
,,,0,0,0,0,
28-04-21,Wednesday,23:23:50,23,23,50,1403.833333,3
,,,0,0,0,0,
28-04-21,Wednesday,23:23:55,23,23,55,1403.916667,4
,,,0,0,0,0,
28-04-21,Wednesday,23:24:00,23,24,0,1404,4
,,,0,0,0,0,
28-04-21,Wednesday,23:24:05,23,24,5,1404.083333,4
,,,0,0,0,0,
28-04-21,Wednesday,23:24:10,23,24,10,1404.166667,4
,,,0,0,0,0,
28-04-21,Wednesday,23:24:15,23,24,15,1404.25,5
,,,0,0,0,0,
28-04-21,Wednesday,23:24:20,23,24,20,1404.333333,5
,,,0,0,0,0,
28-04-21,Wednesday,23:24:25,23,24,25,1404.416667,5
,,,0,0,0,0,
28-04-21,Wednesday,23:25:30,23,25,30,1405.5,4
,,,0,0,0,0,
28-04-21,Wednesday,23:25:35,23,25,35,1405.583333,5
,,,0,0,0,0,
28-04-21,Wednesday,23:25:40,23,25,40,1405.666667,5
,,,0,0,0,0,
28-04-21,Wednesday,23:25:45,23,25,45,1405.75,5
,,,0,0,0,0,
28-04-21,Wednesday,23:25:50,23,25,50,1405.833333,7
,,,0,0,0,0,
28-04-21,Wednesday,23:25:55,23,25,55,1405.916667,7
,,,0,0,0,0,
28-04-21,Wednesday,23:26:00,23,26,0,1406,7
,,,0,0,0,0,
28-04-21,Wednesday,23:31:09,23,31,9,1411.15,3
,,,0,0,0,0,
28-04-21,Wednesday,23:45:43,23,45,43,1425.716667,3
,,,0,0,0,0,
28-04-21,Wednesday,23:45:48,23,45,48,1425.8,4
,,,0,0,0,0,
29-04-21,Thursday,11:49:31,11,49,31,709.5166667,4
,,,0,0,0,0,
29-04-21,Thursday,11:49:36,11,49,36,709.6,5
,,,0,0,0,0,
29-04-21,Thursday,11:49:41,11,49,41,709.6833333,5
,,,0,0,0,0,
29-04-21,Thursday,11:49:46,11,49,46,709.7666667,5
,,,0,0,0,0,
29-04-21,Thursday,11:49:51,11,49,51,709.85,7
,,,0,0,0,0,
29-04-21,Thursday,11:49:56,11,49,56,709.9333333,7
,,,0,0,0,0,
29-04-21,Thursday,11:50:48,11,50,48,710.8,4
,,,0,0,0,0,
29-04-21,Thursday,11:50:53,11,50,53,710.8833333,5
,,,0,0,0,0,
29-04-21,Thursday,11:50:58,11,50,58,710.9666667,5
,,,0,0,0,0,
29-04-21,Thursday,11:51:03,11,51,3,711.05,5
,,,0,0,0,0,
29-04-21,Thursday,11:51:08,11,51,8,711.1333333,7
,,,0,0,0,0,
29-04-21,Thursday,11:51:13,11,51,13,711.2166667,7
,,,0,0,0,0,
29-04-21,Thursday,11:51:18,11,51,18,711.3,7
,,,0,0,0,0,
29-04-21,Thursday,11:52:02,11,52,2,712.0333333,4
,,,0,0,0,0,
29-04-21,Thursday,11:52:07,11,52,7,712.1166667,5
,,,0,0,0,0,
29-04-21,Thursday,11:52:12,11,52,12,712.2,5
,,,0,0,0,0,
29-04-21,Thursday,13:55:49,13,55,49,835.8166667,4
,,,0,0,0,0,
29-04-21,Thursday,13:55:53,13,55,53,835.8833333,5
,,,0,0,0,0,
29-04-21,Thursday,13:55:59,13,55,59,835.9833333,5
,,,0,0,0,0,
29-04-21,Thursday,13:56:03,13,56,3,836.05,5
,,,0,0,0,0,
29-04-21,Thursday,13:56:09,13,56,9,836.15,7
,,,0,0,0,0,
29-04-21,Thursday,13:56:14,13,56,14,836.2333333,7
,,,0,0,0,0,
29-04-21,Thursday,13:56:18,13,56,18,836.3,7
,,,0,0,0,0,
29-04-21,Thursday,13:56:23,13,56,23,836.3833333,7
,,,0,0,0,0,
29-04-21,Thursday,13:56:28,13,56,28,836.4666667,7
,,,0,0,0,0,
29-04-21,Thursday,13:56:34,13,56,34,836.5666667,8
,,,0,0,0,0,
29-04-21,Thursday,13:56:38,13,56,38,836.6333333,8
,,,0,0,0,0,
29-04-21,Thursday,13:56:43,13,56,43,836.7166667,8
,,,0,0,0,0,
29-04-21,Thursday,13:56:49,13,56,49,836.8166667,8
,,,0,0,0,0,
29-04-21,Thursday,13:56:53,13,56,53,836.8833333,8
,,,0,0,0,0,
29-04-21,Thursday,13:56:58,13,56,58,836.9666667,8
,,,0,0,0,0,
29-04-21,Thursday,13:57:03,13,57,3,837.05,9
,,,0,0,0,0,
29-04-21,Thursday,13:57:49,13,57,49,837.8166667,5
,,,0,0,0,0,
29-04-21,Thursday,13:57:54,13,57,54,837.9,5
,,,0,0,0,0,
29-04-21,Thursday,13:57:59,13,57,59,837.9833333,6
,,,0,0,0,0,
29-04-21,Thursday,13:58:04,13,58,4,838.0666667,6
,,,0,0,0,0,
29-04-21,Thursday,13:58:09,13,58,9,838.15,8
,,,0,0,0,0,
29-04-21,Thursday,20:45:59,20,45,59,1245.983333,4
,,,0,0,0,0,
29-04-21,Thursday,20:47:54,20,47,54,1247.9,3
,,,0,0,0,0,
29-04-21,Thursday,20:47:59,20,47,59,1247.983333,3
,,,0,0,0,0,
29-04-21,Thursday,21:05:52,21,5,52,1265.866667,3
,,,0,0,0,0,
29-04-21,Thursday,21:17:22,21,17,22,1277.366667,3
,,,0,0,0,0,
29-04-21,Thursday,21:17:27,21,17,27,1277.45,3
,,,0,0,0,0,
29-04-21,Thursday,21:24:05,21,24,5,1284.083333,3
,,,0,0,0,0,
29-04-21,Thursday,21:24:10,21,24,10,1284.166667,3
,,,0,0,0,0,
29-04-21,Thursday,21:24:15,21,24,15,1284.25,3
,,,0,0,0,0,
29-04-21,Thursday,21:24:20,21,24,20,1284.333333,3
,,,0,0,0,0,
29-04-21,Thursday,21:24:25,21,24,25,1284.416667,3
,,,0,0,0,0,
29-04-21,Thursday,21:24:30,21,24,30,1284.5,3
,,,0,0,0,0,
29-04-21,Thursday,21:24:35,21,24,35,1284.583333,3
,,,0,0,0,0,
29-04-21,Thursday,21:25:13,21,25,13,1285.216667,3
,,,0,0,0,0,
29-04-21,Thursday,21:25:18,21,25,18,1285.3,4
,,,0,0,0,0,
29-04-21,Thursday,21:25:23,21,25,23,1285.383333,4
,,,0,0,0,0,
29-04-21,Thursday,21:25:28,21,25,28,1285.466667,4
,,,0,0,0,0,
29-04-21,Thursday,21:25:33,21,25,33,1285.55,4
,,,0,0,0,0,
29-04-21,Thursday,21:25:38,21,25,38,1285.633333,5
,,,0,0,0,0,
29-04-21,Thursday,21:31:05,21,31,5,1291.083333,1
,,,0,0,0,0,
29-04-21,Thursday,21:31:10,21,31,10,1291.166667,1
,,,0,0,0,0,
29-04-21,Thursday,21:31:15,21,31,15,1291.25,3
,,,0,0,0,0,
29-04-21,Thursday,21:31:20,21,31,20,1291.333333,3
,,,0,0,0,0,
29-04-21,Thursday,21:31:25,21,31,25,1291.416667,4
,,,0,0,0,0,
29-04-21,Thursday,21:31:30,21,31,30,1291.5,4
,,,0,0,0,0,
29-04-21,Thursday,21:31:35,21,31,35,1291.583333,4
,,,0,0,0,0,
29-04-21,Thursday,21:31:40,21,31,40,1291.666667,4
,,,0,0,0,0,
29-04-21,Thursday,21:31:45,21,31,45,1291.75,4
,,,0,0,0,0,
29-04-21,Thursday,21:31:50,21,31,50,1291.833333,4
,,,0,0,0,0,
29-04-21,Thursday,21:31:55,21,31,55,1291.916667,4
,,,0,0,0,0,
29-04-21,Thursday,21:32:00,21,32,0,1292,4
,,,0,0,0,0,
29-04-21,Thursday,21:32:05,21,32,5,1292.083333,6
,,,0,0,0,0,
29-04-21,Thursday,21:32:10,21,32,10,1292.166667,6
,,,0,0,0,0,
29-04-21,Thursday,21:32:15,21,32,15,1292.25,6
,,,0,0,0,0,
29-04-21,Thursday,21:32:20,21,32,20,1292.333333,6
,,,0,0,0,0,
29-04-21,Thursday,21:32:25,21,32,25,1292.416667,6
,,,0,0,0,0,
29-04-21,Thursday,21:32:30,21,32,30,1292.5,8
,,,0,0,0,0,
29-04-21,Thursday,21:32:35,21,32,35,1292.583333,9
,,,0,0,0,0,
29-04-21,Thursday,21:32:40,21,32,40,1292.666667,9
,,,0,0,0,0,
29-04-21,Thursday,21:32:45,21,32,45,1292.75,9
,,,0,0,0,0,
29-04-21,Thursday,21:32:50,21,32,50,1292.833333,9
,,,0,0,0,0,
29-04-21,Thursday,22:45:22,22,45,22,1365.366667,3
,,,0,0,0,0,
29-04-21,Thursday,22:45:27,22,45,27,1365.45,4
,,,0,0,0,0,
29-04-21,Thursday,22:45:32,22,45,32,1365.533333,4
,,,0,0,0,0,
29-04-21,Thursday,22:45:37,22,45,37,1365.616667,4
,,,0,0,0,0,
29-04-21,Thursday,22:45:42,22,45,42,1365.7,4
,,,0,0,0,0,
29-04-21,Thursday,22:45:47,22,45,47,1365.783333,5
,,,0,0,0,0,
29-04-21,Thursday,22:45:52,22,45,52,1365.866667,5
,,,0,0,0,0,
29-04-21,Thursday,22:45:57,22,45,57,1365.95,5
